kode_pintu	tinggi_air	kode_kota	banjir
9	6590	0	1
10	240	3	1
11	3230	0	1
12	1620	2	1
8	1880	0	1
14	-1990	2	1
13	1320	2	1
17	1920	4	1
15	1610	0	1
19	1700	3	1
16	1240	1	1
18	3260	3	1
20	2060	2	1
16	1240	1	1
6	0	2	1
7	590	0	1
9	6390	0	1
10	200	3	1
11	3240	0	1
12	1590	2	1
8	1860	0	1
14	-2000	2	1
17	1930	4	1
13	1210	2	1
15	1570	0	1
18	3330	3	1
20	2030	2	1
19	1640	3	1
6	0	2	0
7	580	0	0
8	1950	0	0
9	9660	0	0
10	800	3	0
11	7150	0	0
12	1710	2	0
13	1330	2	0
14	-700	2	0
15	1520	0	0
16	1240	1	0
17	2390	4	0
18	3350	3	0
19	2870	3	0
20	2030	2	0
7	580	0	0
6	0	2	0
8	1870	0	0
9	9690	0	0
10	590	3	0
11	7240	0	0
12	1710	2	0
13	1310	2	0
14	-1030	2	0
15	1440	0	0
16	1240	1	0
17	2380	4	0
18	3360	3	0
19	2860	3	0
20	2050	2	0
5	2400	0	0
5	2400	0	0
5	2400	0	0
5	2400	0	0
5	2400	0	0
5	2400	0	0
5	2400	0	0
11	7270	0	0
6	0	2	0
7	570	0	0
8	1830	0	0
9	9660	0	0
10	690	3	0
12	1720	2	0
13	1340	2	0
14	-1030	2	0
15	1410	0	0
16	1240	1	0
17	2350	4	0
18	3350	3	0
19	2860	3	0
20	2000	2	0
1	2000	1	0
1	2000	1	0
1	2000	1	0
1	2000	1	0
1	2000	1	0
1	2000	1	0
1	2000	1	0
1	2000	1	0
1	2000	1	0
1	2000	1	0
1	2000	1	0
1	2000	1	0
1	2000	1	0
15	1410	0	0
6	0	2	0
7	560	0	0
8	1800	0	0
9	9620	0	0
10	610	3	0
11	7250	0	0
12	1730	2	0
13	1330	2	0
14	-1170	2	0
16	1240	1	0
17	2280	4	0
18	3330	3	0
19	2850	3	0
20	2100	2	0
6	0	2	0
5	2200	0	0
7	560	0	0
8	1770	0	0
9	9610	0	0
10	470	3	0
11	7200	0	0
12	1730	2	0
14	-760	2	0
15	1360	0	0
17	2210	4	0
18	3340	3	0
19	2820	3	0
20	2060	2	0
6	0	2	0
7	550	0	0
8	1760	0	0
9	9600	0	0
10	490	3	0
11	7220	0	0
12	1740	2	0
14	-690	2	0
15	1360	0	0
17	2180	4	0
18	3350	3	0
19	2820	3	0
20	1790	2	0
13	1330	2	0
16	1240	1	0
13	1330	2	0
16	1240	1	0
16	1240	1	0
16	1240	1	0
16	1240	1	0
16	1240	1	0
16	1240	1	0
16	1240	1	0
16	1240	1	0
